user,type,contest_id,ticket_id,start_time,expire_time,stop_time,task_answers,user_agent,client_ip,mobile_alert,owner,tag,name,school,/Users/artie/PycharmProjects/pythonProject/venv/bin/python /Users/artie/Documents/GitHub/pythonRepository/python数据分析小作业/chaxun.py,is_parent,mobi,le_alert
tsing/ds/demo,ticket-user,tsing/ds,demo,2022-06-09T09:26:00+08:00,2022-07-20T13:18:27+08:00,,"[""{\""basic\"":[[1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,3,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4],1]}""]","Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 SP-engine/2.47.0 main%2F1.0 baiduboxapp/13.9.0.12 (Baidu; P2 15.5) NABar/1.0 themeUA=Theme/default",114.249.127.175,北京市北京市 联通   ,tsing,,demo,demo,未查到归属地,0,北京,
tsing/dxgk/demo,ticket-user,tsing/dxgk,demo,2022-06-19T21:42:35.134+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,北京市北京市 移动  ,tsing,,demo,demo,中国 北京 海淀,0,北京,市北京市
tsing/dxlk/demo,ticket-user,tsing/dxlk,demo,2022-06-19T21:42:09.689+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,北京市北京市 移动  ,tsing,,demo,demo,中国 北京 石景山,0,北京,市北京市
tsing/dxrw/demo,ticket-user,tsing/dxrw,demo,2022-06-19T12:18:52.557+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,北京市北京市 移动  ,tsing,,demo,demo,中国 北京 石景山,0,北京,市北京市
tsing/dxsk/demo,ticket-user,tsing/dxsk,demo,2022-06-19T21:41:42.925+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,北京市北京市 移动  ,tsing,,demo,demo,中国 北京 石景山,0,北京,市北京市
tsing/gy/demo,ticket-user,tsing/gy,demo,2022-06-09T09:30:20+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 SP-engine/2.47.0 main%2F1.0 baiduboxapp/13.9.0.12 (Baidu; P2 15.5) NABar/1.0 themeUA=Theme/default",114.249.127.175,北京市北京市 联通  ,tsing,,demo,demo,中国 北京 石景山,0,北京,市北京市
tsing/gzms/demo,ticket-user,tsing/gzms,demo,2022-06-19T12:16:07.718+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,北京市北京市 移动  ,tsing,,demo,demo,中国 北京 海淀,0,北京,市北京市
tsing/gzsx/demo,ticket-user,tsing/gzsx,demo,2022-06-19T12:12:14.175+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,北京市北京市 移动  ,tsing,,demo,demo,中国 北京 石景山,0,北京,市北京市
tsing/gzty/demo,ticket-user,tsing/gzty,demo,2022-06-19T12:17:30.892+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,北京市北京市 移动  ,tsing,,demo,demo,中国 北京 石景山,0,北京,市北京市
tsing/gzyw/demo,ticket-user,tsing/gzyw,demo,2022-06-19T21:43:06.111+08:00,2022-07-20T13:18:27+08:00,,[],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",120.244.196.184,北京市北京市 移动  ,tsing,,demo,demo,中国 北京 石景山,0,北京,市北京市
